,Scaled_Energy,Position,Defect
1,0.356148164,0.545881,0
2,0.514600067,0.545805,0
3,1.022732504,0.547138,0
4,0.814812807,0.54912,0
5,0.565482992,0.552688,0
6,0.830354493,0.549464,0
7,0.8343661,0.54912,0
8,0.403536692,0.549267,0
9,0.58564707,0.548668,0
10,0.486016685,0.549824,0
11,0.831005789,0.548039,0
12,0.646579905,0.550109,0
13,0.762362271,0.549121,0
14,0.584487822,0.549286,0
15,0.469951627,0.548211,0
16,0.811045705,0.550065,0
17,0.577100208,0.549276,0
18,0.26272467,0.548656,0
19,0.678977686,0.549094,0
20,0.519010572,0.549827,0
21,0.419425292,0.549232,0
22,0.583494235,0.5498,0
23,0.419871066,0.549476,0
24,0.420186345,0.548853,0
25,0.502734431,0.549428,0
26,0.317093979,0.548793,0
27,0.750768347,0.54849,0
28,0.609624482,0.548182,0
29,0.369074449,0.549321,0
30,0.714560407,0.549556,0
31,0.6023989,0.549525,0
32,0.600155849,0.549953,0
33,0.827889832,0.548923,0
34,0.828761752,0.550456,0
35,0.832408868,0.549518,0
36,0.631728543,0.550262,0
37,0.759328432,0.549527,0
38,0.524587035,0.548798,0
39,0.474165325,0.549528,0
40,0.622531288,0.546772,0
41,0.544396845,0.548518,0
42,0.828613106,0.548351,0
43,0.464612385,0.549098,0
44,1.028422195,0.54803,0
45,0.89581088,0.549161,0
46,0.504978437,0.547961,0
47,0.531541246,0.538529,0
48,0.451822101,0.544323,0
49,0.641830604,0.541408,0
50,0.644154655,0.543932,0
51,0.666292712,0.544903,0
52,0.63278461,0.544863,0
53,0.585288487,0.54713,0
54,0.807267196,0.545007,0
55,0.437458797,0.545871,0
56,0.840282256,0.546164,0
57,0.3886926,0.545266,0
58,0.663749787,0.547352,0
59,0.638359209,0.543213,0
60,0.727404918,0.542315,0
61,0.424499655,0.549093,0
62,0.378754064,0.547895,0
63,0.331803799,0.547854,0
64,0.220015067,0.550201,0
65,0.264091641,0.548248,0
66,0.480346603,0.54766,0
67,0.537652923,0.54775,0
68,0.429827229,0.548473,0
69,0.588171214,0.548097,0
70,0.887255062,0.545722,0
71,0.373838718,0.548501,0
72,0.146643782,0.547847,0
73,0.681610759,0.548166,0
74,0.413386732,0.545799,0
75,0.415128895,0.548322,0
76,0.625723377,0.548233,0
77,0.385494587,0.548805,0
78,0.427450147,0.548789,0
79,0.535611395,0.548941,0
80,0.445287737,0.548324,0
81,0.434767155,0.550112,0
82,0.493360334,0.548596,0
83,0.370814623,0.549946,0
84,0.531231396,0.548166,0
85,0.413497676,0.548583,0
86,0.546981669,0.549121,0
